text_id	sentence_id	sentence_word_id	word_id	word
0	0	0	0	If
0	0	1	1	you
0	0	2	2	were
0	0	3	3	to
0	0	4	4	journey
0	0	5	5	to
0	0	6	6	the
0	0	7	7	North
0	0	8	8	of
0	0	9	9	England,
0	0	10	10	you
0	0	11	11	would
0	0	12	12	come
0	0	13	13	to
0	0	14	14	a
0	0	15	15	valley
0	0	16	16	that
0	0	17	17	is
0	0	18	18	surrounded
0	0	19	19	by
0	0	20	20	moors
0	0	21	21	as
0	0	22	22	high
0	0	23	23	as
0	0	24	24	mountains.
0	1	0	25	It
0	1	1	26	is
0	1	2	27	in
0	1	3	28	this
0	1	4	29	valley
0	1	5	30	where
0	1	6	31	you
0	1	7	32	would
0	1	8	33	find
0	1	9	34	the
0	1	10	35	city
0	1	11	36	of
0	1	12	37	Bradford,
0	1	13	38	where
0	1	14	39	once
0	1	15	40	a
0	1	16	41	thousand
0	1	17	42	spinning
0	1	18	43	jennies
0	1	19	44	that
0	1	20	45	hummed
0	1	21	46	and
0	1	22	47	clattered
0	1	23	48	spun
0	1	24	49	wool
0	1	25	50	into
0	1	26	51	money
0	1	27	52	for
0	1	28	53	the
0	1	29	54	long-bearded
0	1	30	55	mill
0	1	31	56	owners.
0	2	0	57	That
0	2	1	58	all
0	2	2	59	mill
0	2	3	60	owners
0	2	4	61	were
0	2	5	62	generally
0	2	6	63	busy
0	2	7	64	as
0	2	8	65	beavers
0	2	9	66	and
0	2	10	67	quite
0	2	11	68	pleased
0	2	12	69	with
0	2	13	70	themselves
0	2	14	71	for
0	2	15	72	being
0	2	16	73	so
0	2	17	74	successful
0	2	18	75	and
0	2	19	76	well
0	2	20	77	off
0	2	21	78	was
0	2	22	79	known
0	2	23	80	to
0	2	24	81	the
0	2	25	82	residents
0	2	26	83	of
0	2	27	84	Bradford,
0	2	28	85	and
0	2	29	86	if
0	2	30	87	you
0	2	31	88	were
0	2	32	89	to
0	2	33	90	go
0	2	34	91	into
0	2	35	92	the
0	2	36	93	city
0	2	37	94	to
0	2	38	95	visit
0	2	39	96	the
0	2	40	97	stately
0	2	41	98	City
0	2	42	99	Hall,
0	2	43	100	you
0	2	44	101	would
0	2	45	102	see
0	2	46	103	there
0	2	47	104	the
0	2	48	105	Crest
0	2	49	106	of
0	2	50	107	the
0	2	51	108	City
0	2	52	109	of
0	2	53	110	Bradford,
0	2	54	111	which
0	2	55	112	those
0	2	56	113	same
0	2	57	114	mill
0	2	58	115	owners
0	2	59	116	created
0	2	60	117	to
0	2	61	118	celebrate
0	2	62	119	their
0	2	63	120	achievements.
0	3	0	121	It
0	3	1	122	shows
0	3	2	123	a
0	3	3	124	sinister
0	3	4	125	looking
0	3	5	126	boar's
0	3	6	127	head
0	3	7	128	sitting
0	3	8	129	on
0	3	9	130	top
0	3	10	131	of
0	3	11	132	a
0	3	12	133	well
0	3	13	134	which
0	3	14	135	seems
0	3	15	136	puzzling
0	3	16	137	at
0	3	17	138	first,
0	3	18	139	but
0	3	19	140	the
0	3	20	141	reason
0	3	21	142	for
0	3	22	143	this
0	3	23	144	symbol
0	3	24	145	is
0	3	25	146	a
0	3	26	147	matter
0	3	27	148	of
0	3	28	149	legend.
0	4	0	150	There
0	4	1	151	was
0	4	2	152	once,
0	4	3	153	legend
0	4	4	154	has
