	text_id	word_id	ref_token	skipped	time	centered_time	word_len	word	surprisal	surprisal_buggy	freq	prev_word	prev2_word	prev3_word	prev_surprisal	prev2_surprisal	prev3_surprisal	prev_surprisal_buggy	prev2_surprisal_buggy	prev3_surprisal_buggy	prev_freq	prev2_freq	prev3_freq	prev_word_len	prev2_word_len	prev3_word_len
0	1	0	In	0.34285714285714286	97.97142857142858	-115.51628842943411	2.0	In	16.54525113105774	15.699893	1.0															
1	1	1	der	0.02857142857142857	237.88571428571427	24.397997284851602	3.0	der	6.007823275402188	7.3991017	1.0	In			16.54525113105774			15.699893			1.0			2.0		
2	1	2	alten	0.11428571428571428	243.82857142857142	30.340854427708738	5.0	alten	6.001963595859706	6.000825	1.0	der	In		6.007823275402188	16.54525113105774		7.3991017	15.699893		1.0	1.0		3.0	2.0	
3	1	3	römischen	0.0	247.68571428571428	34.197997284851596	9.0	römischen	8.94602753315121	8.948747	1.0	alten	der	In	6.001963595859706	6.007823275402188	16.54525113105774	6.000825	7.3991017	15.699893	1.0	1.0	1.0	5.0	3.0	2.0
4	1	4	Religion	0.02857142857142857	352.8285714285714	139.34085442770873	8.0	Religion	7.904736712574959	7.757184	1.0	römischen	alten	der	8.94602753315121	6.001963595859706	6.007823275402188	8.948747	6.000825	7.3991017	1.0	1.0	1.0	9.0	5.0	3.0
5	1	5	und	0.45714285714285713	105.68571428571428	-107.80200271514839	3.0	und	3.4994580475613475	3.6465275	1.0	Religion	römischen	alten	7.904736712574959	8.94602753315121	6.001963595859706	7.757184	8.948747	6.000825	1.0	1.0	1.0	8.0	9.0	5.0
6	1	6	Mythologie	0.02857142857142857	328.2	114.71228299913732	10.0	Mythologie	3.930462490767241	3.6595147	1.0	und	Religion	römischen	3.4994580475613475	7.904736712574959	8.94602753315121	3.6465275	7.757184	8.948747	1.0	1.0	1.0	3.0	8.0	9.0
7	1	7	ist	0.22857142857142856	202.4	-11.087717000862686	3.0	ist	3.339753138832748	3.6104872	1.0	Mythologie	und	Religion	3.930462490767241	3.4994580475613475	7.904736712574959	3.6595147	3.6465275	7.757184	1.0	1.0	1.0	10.0	3.0	8.0
8	1	8	Janus	0.0	335.54285714285714	122.05514014199444	5.0	Janus	9.755484499037266	9.689681	1.0	ist	Mythologie	und	3.339753138832748	3.930462490767241	3.4994580475613475	3.6104872	3.6595147	3.6465275	1.0	1.0	1.0	3.0	10.0	3.0
9	1	9	der	0.2	201.37142857142857	-12.116288429434114	3.0	der	1.2931363200768828	1.3533684	1.0	Janus	ist	Mythologie	9.755484499037266	3.339753138832748	3.930462490767241	9.689681	3.6104872	3.6595147	1.0	1.0	1.0	5.0	3.0	10.0
