item	zone	word	meanItemRT
1	1	If	578.9642857142857
1	2	you	369.0119047619047
1	3	were	368.183908045977
1	4	to	344.31818181818176
1	5	journey	354.63953488372096
1	6	to	349.6741573033708
1	7	the	376.3707865168539
1	8	North	327.3103448275862
1	9	of	365.49438202247205
1	10	England,	344.9310344827586
1	11	you	400.2696629213483
1	12	would	372.5909090909091
1	13	come	350.3793103448276
1	14	to	319.08045977011494
1	15	a	355.9310344827586
1	16	valley	343.8588235294117
1	17	that	330.7325581395349
1	18	is	346.7790697674419
1	19	surrounded	360.28735632183907
1	20	by	337.04651162790697
1	21	moors	359.36470588235284
1	22	as	395.4302325581396
1	23	high	414.59770114942535
1	24	as	390.953488372093
1	25	mountains.	434.03614457831327
1	26	It	457.3452380952381
1	27	is	399.9285714285713
1	28	in	325.24705882352947
1	29	this	318.26744186046506
1	30	valley	341.2235294117648
1	31	where	375.8
1	32	you	363.129411764706
1	33	would	365.43678160919546
1	34	find	323.55813953488376
1	35	the	305.3294117647059
1	36	city	355.85714285714283
1	37	of	320.2988505747127
1	38	Bradford,	418.43678160919546
1	39	where	440.57647058823534
1	40	once	377.3095238095238
1	41	a	353.9540229885057
1	42	thousand	397.4137931034482
1	43	spinning	455.13953488372096
1	44	jennies	459.0238095238095
1	45	that	539.3176470588235
1	46	hummed	538.5348837209302
1	47	and	432.3139534883721
1	48	clattered	407.40697674418607
1	49	spun	414.8117647058824
1	50	wool	453.96470588235286
1	51	into	426.87209302325584
1	52	money	392.5595238095237
1	53	for	384.20689655172407
1	54	the	385.47126436781616
1	55	long-bearded	462.6470588235295
1	56	mill	441.1976744186046
1	57	owners.	476.86904761904754
1	58	That	480.5862068965517
1	59	all	415.6896551724138
1	60	mill	439.0114942528736
1	61	owners	429.528735632184
1	62	were	381.52873563218384
1	63	generally	387.1976744186046
1	64	busy	378.5402298850575
1	65	as	369.5119047619047
1	66	beavers	388.7209302325581
1	67	and	359.7906976744186
1	68	quite	362.5057471264368
1	69	pleased	385.73563218390814
1	70	with	343.93023255813955
1	71	themselves	370.3793103448276
1	72	for	371.4705882352941
1	73	being	349.0581395348837
1	74	so	339.4651162790698
1	75	successful	345.9647058823529
1	76	and	380.4767441860465
1	77	well	362.9529411764706
1	78	off	361.2738095238095
1	79	was	357.09195402298855
1	80	known	353.4137931034482
1	81	to	357.0232558139535
1	82	the	344.45348837209303
1	83	residents	381.8023255813954
1	84	of	365.5
1	85	Bradford,	388.9651162790698
1	86	and	399.6117647058824
1	87	if	367.6309523809524
1	88	you	328.6860465116279
1	89	were	329.86206896551727
1	90	to	331.6046511627908
1	91	go	315.4186046511628
1	92	into	344.7931034482759
1	93	the	332.2823529411765
1	94	city	326.1294117647059
1	95	to	319.58333333333337
1	96	visit	319.0813953488372
1	97	the	330.9186046511628
1	98	stately	370.7325581395349
1	99	City	393.6976744186046
1	100	Hall,	385.62790697674416
1	101	you	395.39080459770105
1	102	would	334.36781609195407
1	103	see	327.7931034482759
1	104	there	333.4418604651163
1	105	the	341.1162790697674
