text_id	word_id	word	paper_log_gmean_freq
1	0	If	-5.825916210899859
1	1	you	-4.651203653340133
1	2	were	-6.123808074095753
1	3	to	-3.6156252749091347
1	4	journey	-10.013302418543335
1	5	to	-3.6156252749091347
1	6	the	-2.924340415271659
1	7	North	-8.425982311362853
1	8	of	-3.68488344878859
1	9	England,	-8.931951346435994
1	10	you	-4.651203653340133
1	11	would	-6.287125029261369
1	12	come	-7.413427537507333
1	13	to	-3.6156252749091347
1	14	a	-3.7766140016192504
1	15	valley	-9.85279443822061
1	16	that	-4.585357754818401
1	17	is	-4.448157890206405
1	18	surrounded	-10.680016342035124
1	19	by	-5.388220192477353
1	20	moors	-13.339276378967902
1	21	as	-5.134482303534073
1	22	high	-7.483830787956245
1	23	as	-5.134482303534073
1	24	mountains.	-10.359193877081038
1	25	It	-4.720569814217844
1	26	is	-4.448157890206405
1	27	in	-3.984588321933348
1	28	this	-5.019156496639937
1	29	valley	-9.85279443822061
1	30	where	-6.9076552839818035
1	31	you	-4.651203653340133
1	32	would	-6.287125029261369
1	33	find	-7.460966619244566
1	34	the	-2.924340415271659
1	35	city	-7.806451702455341
1	36	of	-3.68488344878859
1	37	Bradford,	-12.071541752572568
1	38	where	-6.9076552839818035
1	39	once	-7.9892155088326815
1	40	a	-3.7766140016192504
1	41	thousand	-10.035876740581873
1	42	spinning	-11.54855264261338
1	43	jennies	-15.808407498243925
1	44	that	-4.585357754818401
1	45	hummed	-14.91212484396971
1	46	and	-3.6612603960379495
1	47	clattered	-15.209837090781429
1	48	spun	-12.251070011460909
1	49	wool	-11.707724543275296
1	50	into	-6.653035544233183
1	51	money	-7.735348556095005
1	52	for	-4.585357754818401
1	53	the	-2.924340415271659
1	54	long-bearded	-12.991335114997925
1	55	mill	-10.633298717467666
1	56	owners.	-10.013302418543335
1	57	That	-4.585357754818401
1	58	all	-5.710776878569161
1	59	mill	-10.633298717467666
1	60	owners	-10.013302418543335
1	61	were	-6.123808074095753
1	62	generally	-9.32462951837831
1	63	busy	-9.78481602281863
1	64	as	-5.134482303534073
1	65	beavers	-13.592367006650065
1	66	and	-3.6612603960379495
1	67	quite	-8.541998310335208
